,name,rating,num_reviews
ChIJd_XuQF38ST4RpSav9UZDZlk,Ruwai Fried 2 Jalawiya. بروستد روي,3.8,243
ChIJWeN_ee7bST4RojwSsPmBxf8,Samrah | شـاي سمره,4.8,81
ChIJWT4__KL9ST4RyCma7la2jc8,Golden Rawda Kitchen,4,980
ChIJ74vbWufDST4RKhKptBHARPI,Boston's Cafe,4.5,353
ChIJC2up0ukDNj4RR_GsiVLH1-k,McDonald's,3.8,976
ChIJs4P6fjL9ST4RPioCDEp0AWk,مطعم دفتر الاسماك,3.9,204
ChIJyZidejroST4RphUzcadBI3w,مطعم الريف الخبر- AlReef Restaurant,4.1,996
ChIJ95dvA9PnST4ROYCKP3oiktU,Burger Site,4.3,7171
ChIJOzKqAHD9ST4RvOpcEpjY7B8,COPLANT coffee & dessert,4.2,580
ChIJ0WKhXwD_ST4RFurQfumY3tM,Riddle Cafe ريدل كافيه,4.4,12
ChIJDaDFrVHZST4RSO-izWvCQ-E,Cafè Jamoka,3.8,24
ChIJ9U8fCoj9ST4RxwHHhcGXgbc,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.5,183
ChIJHS9a0jL9ST4Rq1lSFN0moks,شاي لحن,4.3,163
ChIJeWJgF7b9ST4RY_tiVkXnWM8,مطعم ليالي الصالحية,4.2,45
ChIJe4GOWSD7ST4RyR7gJawVMeA,Sana'at Omi Lateefa,4,869
ChIJN8UWHmT8ST4RjjnhQa4svXY,Fresh Broasted,4.2,2312
ChIJV0tZLxH-ST4R0NWQGvHrHTU,سبايسي ميل Spicy Meal,3.8,858
ChIJhb6hPa7nST4REh9Zf3gR9zU,Sword,4.2,397
ChIJ-3RfE-_oST4RSjQxrk2kX7M,Seven,4.2,3204
ChIJdV0V1E3DST4RYLIVVj-K3L8,ون ثاوزند برجر | One Thousand Burger,4.5,853
ChIJiVmXiFTpST4ROoimB-dBrwI,First Flavor Restaurant,4.1,895
ChIJsR3OGnX9ST4R9KcI9Mkv4U4,الكبسة الدمامية (الدمام) | Al-Kabsah Al-Dammamiah,4.1,369
ChIJw3l26YHjST4R2siH9Ef2e-c,THERMOCUP | ثيرموكب,4.3,678
ChIJwWwZVRbjST4R3lo0ndG-iDg,Maestro Shawarma,3.8,422
ChIJzzSJBSrjST4RumdcD1urDmI,تليو Tilio,4.5,243
ChIJH05-cOXlST4RAyylizaVvAY,Dose Cafe,3.9,474
ChIJlWsmjXLoST4RsQ9G9fzRDD4,Hashim Restaurants,3.6,2593
ChIJ91-XTCj9ST4RqfB-LbGum_M,ورق عنب لي ليو,3.9,182
ChIJ9Xpwf93jST4Rta5TLS-4ecY,قهوة خشف,4.5,323
ChIJq7yRru7DST4RumGtrWBUsV0,Bassam Broasted,3.7,421
ChIJZRCJ1VDDST4RZHhn9Is67Zw,AlRafidain Restaurant,4.3,3461
ChIJT2SbpSv-NT4RU-hKY5YVxjs,Bzarkum Samak,4,369
ChIJwT83Pon9ST4RRP-aI5feBBE,Half Pound,4.7,2266
ChIJK9IrjIvjST4Ro-rcW01RWgM,Sikkat Karak,4.3,1099
ChIJ0Rn5XCn9ST4RqlundJ_EQI4,Maskob مسكوب,4.2,1254
